"class,comment"
"positif,b'RT @RiantiDiani: #TegasTegakkanPPKMDarurat\nBersinergi n berkoordinasi dengan Satgas Kovid-19, kepolisian, pemerintah daerah/satuan polisi p\xe2\x80\xa6'"
"negatif,b'RT @keuangannews_id: Kerahkan Panser ketika PPKM, Benny Harman: Sebenarnya, Mau Melawan Covid-19 atau Amuk\xc2\xa0Massa? https://t.co/uMozQjiNYd'"
"negatif,b'RT @fadlizon: Fadli Zon Kritik Luhut soal WNA Boleh Masuk ke Indonesia saat PPKM Darurat: Arogansi Kekuasaan\n\nhttps://t.co/Su3dj4fNDQ'"
"negatif,b'RT @KakekHalal: Ini sdh keterlaluan, mohon kpd aparat yg berwenang utk segera bertindak @DivHumas_Polri @CCICPolri @Puspen_TNI\nhttps://t.co\xe2\x80\xa6'"
"negatif,b'RT @Umar_Chelsea_75: Hebat banget. Disaat PPKM darurat kemasjidpun dilarang. Ngenees banget baca berita ini TKA China masuk tanpa ijin beke\xe2\x80\xa6'"
"positif,b'RT @dkpkpjakarta: Untuk mengurangi beban masyarakat dalam penyediaan bahan pangan pada masa penerapan PPKM Darurat, Badan Ketahanan Pangan\xe2\x80\xa6'"
"negatif,b'RT @FPD_DPR: Tidak Diizinkan Interupsi di Paripurna, FPD Soroti Masuknya TKA di Masa PPKM dan Kurangnya Oksigen Medis \n\n\xe2\x81\xa6@SartonoHutomo\xe2\x81\xa9 \xe2\x81\xa6@\xe2\x80\xa6'"
"negatif,b'RT @mbahndi: Perilaku masyarakat yang susah diubah itu adalah perilaku mencari rejeki, karena di Indonesia ini surga buat para pencari reje\xe2\x80\xa6'"
"netral,b'RT @fsskroeppreal: PPKM - Pernah percaya kemudian menyesal.~ https://t.co/GT6k6wPMFb'"
"netral,b'RT @panca66: Padahal yang mau ditanyakan hal yang penting buat masyarakat https://t.co/TdX6wvzxnq'"
"negatif,b'RT @Ndons_Back: Serius lohh ? \n\nViral Surat Edaran PPKM Makassar, Ibadah Ditiadakan Tapi Klub Malam Tetap Buka\nhttps://t.co/25JFQ9riy5'"
"netral,b'RT @mhdarief2208: PPKM : Pengen Peluk Km\n\nBoleh?'"
"negatif,b'RT @BossTemlen: Nah bener, siksa aja trs rakyat kecil!\nhttps://t.co/bo5vVapXrw'"
"negatif,b'RT @rrmahayukd: PPKM = Pelan Pelan Kita Mati'"
"netral,b'@KediriFess etdah perasaan ada menfess yg jelasin deh daripada nanya bolak balik bisa kok ketik di pencarian ""kedirifess"" trs masukin apa yg mau di cari, semua adaa :( misal kedirifess ppkm. ntr muncul tuh daripada nanya bolak balik woi heran dah'"
"netral,b'RT @1trenggalek: INFO POLRI\nPPKM Darurat sesuai Inmendagri 15 Tahun 2021\n\nTempat Ibadah \n\nTempat ibadah (Masjid, Mushola, Gereja, Pura, Vih\xe2\x80\xa6'"
"positif,\b'Anies Jamin Keamanan Identitas Pelapor Perusahaan Pelanggar PPKM Darurat https://t.co/KLAOZWf6QA'"
"negatif,b'RT @tifsembiring: Ngerti lah, Bang... \nJadi saat PPKM diberlakukan TKA China tetap boleh masuk. Gitukan...\xf0\x9f\xa4\x94\n\n*L4:LuLagiLuLagi\n\nhttps://t.co\xe2\x80\xa6'"
"negatif,b'RT @IrutPagut: KERIBUTAN KEMAREN DI PASAR KANDANGAN KEDIRI. PEDAGANG NGAMUK MELAWAN PETUGAS PPKM. https://t.co/LSxj2r5LTv'"
"positif,b'RT @PolsekPangalen7: Satgas PPKM Darurat Himbau Pedagang Terapkan Take A Way Guna Cegah Penyebaran Covid-19\n\n#ppkmdaruratjawabali \n#polrest\xe2\x80\xa6'"
"positif,b'RT @bumnbersatu: Mohon para tokoh politik ,tokoh nasional sadar jgn terus membully &amp; mempolitisasi  program PPKM Darurat yg diterapkan peme\xe2\x80\xa6'"
"negatif,b'RT @geloraco: KAMI se-Jawa Desak Jokowi Pecat Luhut: Sangat Tidak Pantas Jadi Koordinator PPKM\nhttps://t.co/4kPFTuGAK5'"
"netral,b'RT @CNNIndonesia: Sunyi Senyap Malioboro Ditelan Gelap Masa PPKM Darurat https://t.co/kRSLYTGMMP'"
"netral,b'RT @inewsdotid: Terdampak PPKM Darurat, Begini Kondisi PKL Kota Surabaya https://t.co/wyjcb0w1bm'"
"negatif,b'@wiriantowidjaya @luhutbinsarp Mas Wir silakan baca keterangan beliau, meskipun ppkm, orang asing, tka China boleh masuk. Begitu kebijakannya. Kalau saya jumpa dg beliau, saya akan usul, selama PPKM tutup dulu bandara internasional itu. Kalau dia setuju. Yg mikirin covid ini, bukan cuma dia. Kok buruk sangka?'"
"negatif,b'RT @FFathurF: PPKM kok enggak ada pemeriksaan di PIK ? \nTadi temen bilang semalam masih asik nongkrong Ngopi di Toby\xe2\x80\x99s Estate, Pantai Indah\xe2\x80\xa6'"
"netral,b'@AgusNehemia @geloraco Yang sebelum PPKM ya..???'"
"negatif,b'RT @adhityol: PPKM (Para Photographer Kembali Menganggur) \xf0\x9f\x91\x80'"
"negatif,b'RT @tempodotco: Luhut melihat fenomena masuknya TKA bukan hal yang aneh karena sesuai dengan asas resiprokal dan telah melalui prosedur kes\xe2\x80\xa6'"
"negatif,b'@tempodotco Situ waras pung?apa gunanya PPkm tapi bandara terbuka lebar buat TkA?jadi PPKM itu hanya berlaku buat rakyat kecil terutama umat islam bgtu? https://t.co/hA0ECILfP1'"
"netral,b'Wedding Organizer di Kota Ambon Ubah Strategi Bisnis Menyikapi Kebijakan PPKM Mikro Mulai 8\xc2\xa0Juli https://t.co/RRAceF0uu2'"
"negatif,b'RT @adit_youtuber: udah bacain jumlah warga yang hilang pekerjaan?\njadi pengangguran?\nmasjid ditutup?\nmau kerja gabisa?\nlapak daganganya di\xe2\x80\xa6'"
"positif,b'RT @SantorinisSun: Selain virus Coronanya sendiri yg terus bermutasi...\nPandemi ini menjadi lebih berbahaya krn adanya golongan sbb :\n- nge\xe2\x80\xa6'"
"netral,b'RT @fsskroeppreal: PPKM - Pernah percaya kemudian menyesal.~ https://t.co/GT6k6wPMFb'"
"negatif,b'RT @zarazettirazr: Sebagai pedagang kecil, denda Rp 5 juta dinilai sangat besar.\n""Saya jujur keberatan. Karena cari uang saja sudah susah,""\xe2\x80\xa6'"
"netral,b'@hidahidaan PPKM\nPagi Pagi Kudu Mandi  \n\nSesuai lagu.'"
"positif,b'RT @polsek_tuntang: Petugas  PPKM Darurat dari Polsek dan Koramil Tuntang memberikan edukasi kepada para pedagang / penjual makanan agar me\xe2\x80\xa6'"
"negatif,b'RT @chakrawidjayas1: PPKM\n(Pelan pelan Kita Mati)\nMari sama sama kita mati \xf0\x9f\x98\x80\n\n#IndonesiaKolaps\n#IndonesiaKolaps https://t.co/MnawGnmFN5'"
"negatif,b'RT @myputun: KAMI se-Jawa: PPKM Darurat Adalah Cara Pemerintah Jokowi Bodohi Rakyat https://t.co/nN6iwZS0LE'"
"positif,b'Polsek Bukateja Bersama Gugus Tugas Covid-19 Kecamatan Bukateja Melaksanakan Kegiatan Himbauan Jam Malam di Masa PPKM Darurat. Selasa (6/7/2021) https://t.co/EeCZU1yYnG'"
"positif,b'Dalam rangka penegakan Perwal Kota Bandung No.68\xc2\xa0 tahun 2021, tentang PPKM Darurat, dipimpin Kapolsek Cibeunying Kaler Polrestabes Bandung Kompol Arsyad S.IP,  dan Danramil Cikutra beserta personil Piket Polsek Cibeunying Kaler dan petugas Satpol PP kecamatan. https://t.co/9NH2TuVuXP'"
"negatif,b'RT @VICE_ID: Kebijakan yang kurang jelas dasar ilmiahnya ini muncul di Kota Malang, Kediri, Tulungagung, hingga Sleman. Warga protes karena\xe2\x80\xa6'"
"netral,b'RT @kebijakananies_: Hampir seluruh rumah sakit di seluruh Indonesia kewalahan menangani pasien, termasuk di DKI Jakarta.\n\nGubernur @aniesb\xe2\x80\xa6'"
"netral,b'RT @gabyJKT48: Aku suka ppkm tanpa pp https://t.co/TeANJGNX3D'"
"positif,b'RT @BKNgoid: #SobatBKN, Dalam masa PPKM Darurat saat ini Pelayanan tatap muka di BKN DITUTUP.\nSilakan akses link pada grafis berikut jk ter\xe2\x80\xa6'"
"positif,b'RT @SaveIDN: Kalian yang terus menerus memprovokasi agar rakyat tidak mematuhi aturan PPKM DARURAT, apa yang kalian inginkan? Apakah kalian\xe2\x80\xa6'"
"netral,b'RT @MurtadhaOne1: HATI-HATI!\nBanyak HOAX dan video lama disebar di WAG2 agar kemudian diposting di medsos \n\nSalah satunya video bentrok sat\xe2\x80\xa6'"
"negatif,b'Inilah PPKM Jakarta... Ini masih di Plaza Kenari.. Di Jalan Matraman Raya Jakarta Pusat.. \n\nBanyak... sangat banyak kerumunan di Jakarta... Bukan cuma Sudirman Thamrin doang yg Anies ribut2 itu.. eh malah salah labrak pula lagi.. Kan Dodol https://t.co/sQiwnwcHPs'"
"positif,b'RT @LuhutBinsarFans: Sesuai dengan arahan dari Presiden @jokowi untuk menanggulangi penyebaran virus corona yang masif kali ini dengan angk\xe2\x80\xa6'"
"negatif,b'RT @francmohede: Kalau mau kritik, ya baca2 histori dulu. Kok masih belaga bego kalau PPKM itu program pusat. Masgub @aniesbaswedan juga su\xe2\x80\xa6'"
"netral,b'RT @merdekadotcom: Tanggapan PT Equity Life Indonesia Kantornya Disidak Anies Saat PPKM Darurat: Corporate Communication PT Equity Life Ind\xe2\x80\xa6'"
"netral,b""Kemaren PSBB sekarang PPKM  sekalian aja besok PPKN , IPA, IPS, MATEMATIKA, AKIDAH AKHLAK, QUR'AN HADIS ,  ILMU TAFSIR \xf0\x9f\x98\x91"""
"negatif,b'RT @saidi_sudarsono: Adakah pelanggar PPKM yg dari Mall, Kafe, dan bisnis kelas elit yg diambil paksa petugas?\n\nKalau pelanggar dr warung,\xe2\x80\xa6'"
"negatif,b'RT @CNNIndonesia: Pegawai KPK Nonaktif Ungkap Celah Korupsi Bansos PPKM Darurat https://t.co/tsHFODvQcK'"
"negatif,b'RT @Dennysiregar7: Halo @aniesbaswedan..\n\nIni yang disidak kan perush asuransi ? Asuransi itu lembaga keuangan non Bank, masuk dlm kategori\xe2\x80\xa6'"
"negatif,b'RT @Yahoo_ID: Polri Akui Anggotanya Masih Ada yang Tak Paham Aturan PPKM Darurat https://t.co/ZVpZ7vqLzX https://t.co/W8wZZDfq4j'"
"netral,b'HEADLINE HARIAN POSKOTA EDISI rabu 7 JULI 2021\n\n\xe2\x96\xb6\xef\xb8\x8f Preview Piala Eropa, Inggris vs Denmark\n\n\xe2\x96\xb6\xef\xb8\x8f Mayat wanita terbungkus plastik ditemukan di mobil boks di Bogor\n\n\xe2\x96\xb6\xef\xb8\x8f Gubernur DKI Jakarta Anies Baswedan menutup 2 perusahaan non esensial dan kritikal karena melanggar PPKM Darurat https://t.co/8Y6xOa9wNM'"
"netral,b'RT @kismin666oys: Skrg bukan tahun 2021 dengan PPKM mikro nya.\n\nSkrg tahun 2012 km pulang nobar dari brewers beergarden dengan gembira ukup\xe2\x80\xa6'"
"positif,b'RT @lantas_semarang: Dilaporkan pelaksanaan giat PPKM DARURAT tadi Malam penutupan di seputaran Simpang Lima tepatnya di Air Mancur bertuju\xe2\x80\xa6'"
"netral,b'Kebutuhan Pokok di Gresik Meroket 50% Saat PPKM Darurat https://t.co/Zc2sxl4bZZ'"
"negatif,b'RT @murtado_zaki: PPKM = penyekatan Pribumi, komunis masuk \xf0\x9f\x98\x8c https://t.co/yhdshIPdgi'"
"negatif,b'RT @ekowboy2: Yang kita lihat penindakan PPKM darurat oleh aparat hanya menyasar rakyat kecil yg tak berdaya, baru Gub DKI yg berani sidak\xe2\x80\xa6'"
"negatif,b'@NcuhiRiwo PPKM Mikro gratis, Lockdown berbayar hehe\xf0\x9f\x98\x80\xf0\x9f\x98\x80'"
"negatif,b'liburan semester malah ppkm \xe2\x98\xba\xf0\x9f\x92\x94'"
"negatif,b'Kedatangan Wisatawan ke Bali Terjun Bebas Sejak PPKM Darurat\nSiklus Bisnis ada di Agribisnis. Ayo segera beraksi jgn sampe jadi negeri sulit nasi. \n#stopnungguin dollar.'"
"positif,b'RT @SaveIDN: Hai kalian yang tetap ngeyel tidak mematuhi aturan PPKM Darurat, apakah kalian harus mati konyol dulu baru kalian bisa sadar b\xe2\x80\xa6'"
"negatif,b'RT @Belok_dong: Sekalinya galak yg ditegor perusahaan Asuransi yg dibolehkan UU utk tetap beraktifitas selama masa PPKM.. \n\nPintermu kapan\xe2\x80\xa6'"
"negatif,b'Ppkm ini membuat smua rencana bubrah. Serah covid dah enaknya gmn. Sgeralah menghilang, minimal jd endemi'"
"positif,b'Bansos akan disalurkan saat PPKM darurat\nTorang Jaga Indonesia https://t.co/FngPbn2BOF'"
"positif,b'RT @SaveIDN: Kepada seluruh provokator dan oportunis di negeri ini. Apa yang kalian inginkan dari usaha memprovokasi masyarakat agar melawa\xe2\x80\xa6'"
"positif,b'RT @Mdy_Asmara1701: Suka nih \xf0\x9f\x91\x8d\nBenar-benar TEGAS!!\n\nMasih banyak yang melanggar aturan PPKM ternyata \xf0\x9f\x98\xa2\n\nSalfok sama orang yang ditegur pak\xe2\x80\xa6'"
"positif,b'@GarengHallu Beda pak,di USA warganya patuh pada Prokes pemerintah lha di negara+62? Warganya malah menolak PPKM DARURAT dan mendobrak beton segala, belum lagi tokoh agama memprovokasi dan memperburuk keadaan dgn mendiskreditkan pemerintah pusat.'"
"netral,b'Halo @CommuterLine Kalau kita naik kereta di era PPKM gini, apa harus memberikan hasil test swab atau vaksin ? Terimakasih'"
"netral,b'PPKM (pengen peluk kamu mas)'"
"netral,b'RT @Relawananies: Menurut Rocky Gerung, PPKM Darurat telah diusulkan oleh Anies Baswedan pada Mai lalu. Tapi pemerintah menolak sebab ada p\xe2\x80\xa6'"
"netral,b'PPKM alias pala pusing karenamu https://t.co/sg31o0JEw3'"
"netral,b'Pencatatan Pernikahan di Masa PPKM Darurat Kabupaten Ponorogo Bisa Dilakukan, Ini Syaratnya - https://t.co/3kqNR1rlQI https://t.co/wK4QSKiUtT https://t.co/A9ra4ntPyI'"
"negatif,b'RT @aqua_gak: @mahboebah @KompasTV Serius?\nAnda serius menulis tweet ini?setelah apa yg di lakukan pemerintah di awal 2020?\nPenyangkalan, a\xe2\x80\xa6'"
"positif,b'RT @denbaguse_prabs: Pengen segera aman, ya PPKM serius dan segera percepat vaksin. Lha ini teman-teman saya juga harus rebutan jhe\n\nBukan\xe2\x80\xa6'"
"positif,b'RT @HusinShihab: Mestinya @MUIPusat melaporkan ustaz ini ke Polisi. Klu dibiarkan hasutan ustaz itu akan dibenarkan oleh masyarakat. \n\nMoho\xe2\x80\xa6'"
"positif,b'RT @CNNIndonesia: Pakar Imbau PPKM Ketat di Zona Positivity Rate 20 Persen https://t.co/wuIQ07QlU2'"
"netral,b'PPKM Seolah Tak Sukses, Rocky Gerung: Sudah 5 Hari Ada di India, Tidak Terlihat Keutuhan Dalam Rezim https://t.co/yyGFjZtIqX lewat @Repelita Online'"
"negatif,b'RT @Aulyasederhna03: Ya Allah \nPagi2 dpet chat bgini\nLG PPKM GK bisa pulang\n\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/qkbYNZvnH3'"
"positif,b'PPKM atasi covid-19. Siap patuhi PPKM darurat https://t.co/rgz50EQ3Zw'"
"positif,b'PPKM atasi covid-19\n\nhttps://t.co/4nYT49sJaF'"
"positif,b'PPKM atasi covid-19 melindungi masyarakat dari bahaya covid-19 https://t.co/XD6RK0pL6e'"
"positif,b'Patuh pada aturan adalah kunci keberhasilan PPKM atasi covid-19 https://t.co/zJJ523XwrU'"
"positif,b'@mjdmms0223 alhamdulillah ppkm ku ramai walau di rmh aja\xf0\x9f\xa5\xb0'"
"positif,b'RT @islamidotco: Masjid Ditutup Masa PPKM, Ustadz Adi Hidayat: Baiknya Tunaikan di Rumah, Tidak Perlu Memaksakan ke Masjid https://t.co/YbE\xe2\x80\xa6'"
"positif,b'PPKM atasi covid-19 pilihan terbaik https://t.co/dFPZc21kWJ'"
"positif,b'RT @___k1n9f4t1Ra7a: Ini baru Solusi, jangan asal maen bongkar, angkut dan usir. Coba dihitung dan borong semua sampai tgl 20 Juli biar mer\xe2\x80\xa6'"
"positif,b'""PPKM dan Vaksinasi, Solusi atau Ilusi Penuntasan Wabah?""\n\nOleh: Siti Komariah, S.Pd.I\n(Pemerhati Masalah Umat)\n\nhttps://t.co/2N2g3Ue3o4\n\nFollow kami: \nChannel Telegram: https://t.co/LMDdHLyBov\nTwitter: https://t.co/GXWeCC7Gkw\nFP: https://t.co/PipRJz6Krn'"
"netral,b'@CoinHunterV3 @Svizzera_CH PPKM\n\nPERNAH SAYANG KEMUDIAN MENGHILANG \xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\nPPKM\n\nPAS PENGEN, KAMU MALAH M\xf0\x9f\x98\xad'"
"netral,b'RT @RahmayadiEdy: Selama masa PPKM Mikro ini, tempat ibadah diperbolehkan buka sepanjang masih menerapkan Protokol Kesehatan yang ketat. Ke\xe2\x80\xa6'"
"positif,b'PPKM atasi covid-19 keputusan yg tepat. https://t.co/YxdEWouWDI'"
"negatif,b'RT @geloraco: Poster Jokowi Pembual Tersebar di Tasikmalaya Gara-gara PPKM Darurat\n\nhttps://t.co/nEhjmhJkPh'"
"netral,b'Petunjuk Teknis Penyelenggaraan Transportasi bagi pelaku perjalanan PPKM Darurat Tanggal 03 - 20 Juli 2021. https://t.co/t4sYCDT48C'"
"netral,b'@ngalamfess Ga tatap mukaa. Konsul onlen. Apa lg ppkm nder.'"
"positif,b'Serda Joko Purwanto Babinsa Koramil 01/Karangnyar Bersama Babinkamtibmas dan Satgas Covid  Kelurahan Delingan  melaksanakan Giat pengecekan Wilayah Tentang PPKM Darurat, Pengecekan di wilayah Menghimbau kepada warga/masyarakat untuk mematuhi Protokol kesehatan (5M) https://t.co/pGXfxYW3Wk'"
"netral,b'RT @Heraloebss: PPKM : Pernah Pergi Kemudian Muncul https://t.co/ORtNOITv72'"
"negatif,b'RT @Anonymous_2024: DARING = PEMBODOHAN.\n\nPPKM = PEMISKINAN.\n\nMASKER = PEMBUNGKAMAN.\n\nVAKSIN = ISI AJA SENDIRI...!!\xf0\x9f\x99\x8f'"
"positif,b'RT @alisyarief: Kalau kunci keberhasilan mengatasi pandemic cofid19, antara lain dg PPKM, kan gampang dan sederhana. Mengapa harus minta ba\xe2\x80\xa6'"
"positif,b'RT @muannas_alaidid: Nah ini yg betul PPKM itu bukan jebakan idul adha tapi untuk kemaslahatan kita semua, sebaiknya kedepan kalo mau isi c\xe2\x80\xa6'"
"positif,b'Berikut kami sampaikan informasi titik penyekatan di jalan tol Jasa Marga Group, dalam rangka mendukung PPKM Darurat. https://t.co/qHZzlm3HnR'"
"netral,b'ppkm (piye piye kudu manut)..'"
"negatif,b'RT @tijabar: Tkang Bubur di Denda 5 Juta\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\n\nSawa Hidayat:\n""Kan ada 2 pilihan, dikurung 5 hari atau didenda 5 jt. Jd sy pilihannya denda 5\xe2\x80\xa6'"
"positif,b'RT @zarazettirazr: PPKM Darurat point2 pentingnya. Bantu sebarkan tweeps agar makin banyak yang baca, tau dan makin sedikit yang kena razia\xe2\x80\xa6'"
"negatif,b'RT @Aulyasederhna03: Ya Allah \nPagi2 dpet chat bgini\nLG PPKM GK bisa pulang\n\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/qkbYNZvnH3'"
"negatif,b'RT @crystallthing: dulu psbb, sekarang ppkm, besok agama, ipa, biologi \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'"
"negatif,b'Efek.PPKM darurat ,tanpa pengganti  biaya hidup dari pemerintah \xf0\x9f\xa4\xa6\xf0\x9f\xa4\xa6\xf0\x9f\xa5\xba https://t.co/jtYomdoIcf'"
"positif,b'Salah 1 mantan boss ku, ppkm, himbauan di rumah saja, eh dia masih muter lho. Tiap hari masih ngantor, terus meeting k ktr a, ke ktr b. Ga ada ngeri2 nya. Pdhal punya asma lho... pede krn uda vaksin 2x, n pernah kena virus juga and..... ga betah dirumah.....'"
"netral,b'PPKM : Pengen Peluk Kamu Mulu \xf0\x9f\xa5\xba'"
"negatif,b'RT @ferdnamahardika: @cho_ro @Oviliaaa Ayo yg lg bingung ppkm ngapain dirumah aja bosen, baca berita gini gini tiap hari, naik pitammm tuh\xe2\x80\xa6'"
"negatif,b'ppkm ni nunda skripsi ku ci ish\xf0\x9f\x99\x82'"
"positif,b'RT @DioR3born: Kebijakan pemerintah untuk memberlakukan PPKM Darurat adalah ikhtiar terbaik untuk menghentikan penyebaran Covid-19. Oleh ka\xe2\x80\xa6'"
"negatif,b'RT @kvmuach_20: jika tdk ada keadilan bagi rakyat, biarlah tdk ada kedamaian bagi pemerintah\nImbas PPKM Darurat, PA 212 Salahkan Menag \xe2\x80\x9cHaj\xe2\x80\xa6'"
"positif,b'ppkm gaboleh sakit gaboleh cengeng, harus kuat, back up sana sini, gada waktu istirahat \xf0\x9f\xa5\xb2'"
"netral,b'Aku suka PPKM with spasi'"
"netral,b'CPNS Kejaksaan RI sebagai bentuk penyesuaian dalam kondisi PPKM Darurat ini.\n\nApa sajakah itu? Simak baik-baik yaa Sobat Adhyaksa!\n\nUntuk keterangan selengkapnya, silahkan kunjungi https://t.co/p7RgGVkYNy\n\n@biropeg\n\n#kejaksaanri #jaksa #jaksaagung #jaksasahabatmasyarakat #cpns .. https://t.co/lxPipHd5PH'"
"netral,b'@andrigunardiii Ga bisa ketemu inget PPKM . wkwkwkws'"
"positif,b'Satgas Covid-19 Kecamatan Jatibarang jalankan PPKM Darurat yg menginstruksikan tempat ibadah untuk ditutup sementara selama masa PPKM ini.\n\nSumber: berbagai sumber.\n(Kami hanya menginfokan kabar saja) https://t.co/qrfPnWbhBt'"
"netral,b'RT @Arfh_12: Aku tau akun aku kecil, tolong kalau lewat bantu RT ya. Sebentar lagi pembayaran ukt, mau minta ortu nggak tega karena PPKM wa\xe2\x80\xa6'"
"negatif,b'RT @detikcom: Ceramah KH Sofwan Nizhomi viral di medsos karena mengatakan kebijakan pemerintah yakni PPKM itu sebuah jebakan untuk menghala\xe2\x80\xa6'"
"negatif,b'@ngalamfess Hapene smart phone tapi berita2 g update,lah ngerti opo leg ada ppkm...wong2 koyok ngene sak jane dadi relawan ndeg rs..'"
"positif,b'RT @Leonita_lestari: Mungkin maksudnya juga baik yakni ingin terlibat langsung dalam pengawasan melekat pada wilayahnya namun tempat yang d\xe2\x80\xa6'"
"netral,b'/wal aku handak ke surabaya nih, disana ppkm lah yo'"
"negatif,b'RT @HisyamMochtar: Bagi yang sehari kalo gak kerja gak bisa makan wajarlah jika gak peduli apa itu PPKM. Ayam yang dikurung dan gak dikasih\xe2\x80\xa6'"
"netral,b'#Tol_Jagorawi Setelah GT Bogor 1 arah Istana Bogor, DIBERLAKUKAN Penyekatan PPKM Darurat secara Situasional.'"
"netral,b'Semoga PPKM :\nPa prabowo kapan mundur? https://t.co/dSARVYiYsV'"
"negatif,b'RT @SirianaGde: Pedagang Bubur di Tasikmalaya didenda Rp.5juta krn dianggap langgar PPKM Darurat. Dia merasa blm dapat sosialisasi. Akhirny\xe2\x80\xa6'"
"negatif,b'@HisyamMochtar ingin melawan covid 19, spy hilang dari negeri tercinta ini. Tetapi niat itu tdk disertai kesungguhan, bercabang , tidak tegas dan jelas, bahkan cenderung jd seperti Arogan.\nPPKM DARURAT, rakyat disekat,Bandara buka. ""Pelanggar"" pencari nafkah, didenda,konpensasi tdk ada.'"
"positif,b'Reposted from @KejaksaanRI\n_\nSobat Adhyaksa.\n\nKejaksaan berkomitmen untuk sepenuhnya mengikuti, mendukung serta mensukseskan PPKM Darurat yang sedang berlangsung di Pulau Jawa dan Bali.\n\nUntuk itu, terdapat beberapa perubahan mengenai ketentuan-ketentuan seleksi penerimaan... https://t.co/ojK5Kg6caQ'"
"netral,b'PPKM emang penting tapi, ngerusuhin orang dagang yg target marketnya aja kagak boleh keluyuran itu wadidaw sih.'"
"negatif,b'@e100ss Podo wae cuk, kene di ppkm kono dipersilakan masuk!'"
"positif,b'PPKM Darurat, Kemenag Jatim: KUA di Zona Merah Hanya Untuk Pelayanan Darurat\n\nSelengkapnya di: https://t.co/xiztBpgkrP https://t.co/qMyCpZBQqt'"
"netral,b'RT @LOVE_AG4EVER: Disidak Anies Gegara WFO Saat PPKM Darurat, Equity Life Indonesia Buka Suara \n\n\xf0\x9f\x91\x89marah salah alamat \n\nPT.Equity Life adala\xe2\x80\xa6'"
"positif, b'Kapolsek Ngronggot Akp Moh Samsul Hadi,sh bersama forpincam monitoring pelaksanaan vaksinasi di bades Kalianyar dan sosialisasikan Keputusan Bupati Nganjuk Nomor : 188/128/K/411.012/2021, tgl 02 Juli 2021. terhitung tgl 03 - 20 Juli 2021 Kab.Nganjuk diberlakukan PPKM Darurat. https://t.co/8jDRdNyxhW'"
"netral, b'RT @SantorinisSun: Selain virus Coronanya sendiri yg terus bermutasi...\nPandemi ini menjadi lebih berbahaya krn adanya golongan sbb :\n- nge\xe2\x80\xa6'"
"negatif, b'RT @HisyamMochtar: Bagi yang sehari kalo gak kerja gak bisa makan wajarlah jika gak peduli apa itu PPKM. Ayam yang dikurung dan gak dikasih\xe2\x80\xa6'"
"negatif, b'RT @kvmuach_20: jika tdk ada keadilan bagi rakyat, biarlah tdk ada kedamaian bagi pemerintah\nImbas PPKM Darurat, PA 212 Salahkan Menag \xe2\x80\x9cHaj\xe2\x80\xa6'"
"negatif, b'PPKM udah seperti jalan tak ber ujung rakyat sudah susah jangan bikin marah !!!'"
"netral, b'RT @democrazymedia: Undang Massa Sebanyak 1.500 Orang di Acara Hajatan saat PPKM Darurat, Lurah di Depok Tidak Ditahan\nhttps://t.co/oUnS5ux\xe2\x80\xa6'"
"positif, b'RT @SantorinisSun: Tidak ada alasan percepatan vaksinasi terhambat oleh PPKM Darurat!\nKemenkes hrs delegasikan ke Dinkes daerah.\nMasyarakat\xe2\x80\xa6'"
"netral, b'Seusai pulang bayar denda Rp 5 juta dari Kejaksaan, tukang bubur gembira ada warga Kota Tasikmalaya yang memberikan uang Rp 5 juta untuk ganti denda. https://t.co/2o9ii8QTMf'"
"negatif, b'@Dajjal_oficiaL @LorianarMannas Lagi PPKM jal puter balik lo'"
"negatif, b'RT @Aulyasederhna03: Ya Allah \nPagi2 dpet chat bgini\nLG PPKM GK bisa pulang\n\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/qkbYNZvnH3'"
"negatif, b'@henrysubiakto MANA kritik-mu ke pejabat yang ketawa ketiwi, senam ubur-ubur, makan nasi kucing, virus Covid tak bertahan di Indonesia, saat awal Covid datang? Bahkan saat ini, ketika bandara masih buka untuk kedatangan internasional, sedang rakyat wajib PPKM Darurat, tanpa bansos? Cangkem Elek'"
"positif, b'RT @RahmayadiEdy: Selama masa PPKM Mikro ini, tempat ibadah diperbolehkan buka sepanjang masih menerapkan Protokol Kesehatan yang ketat. Ke\xe2\x80\xa6'"
"positif, b'RT @BiLLRaY2019: Covid-19 terus merenggut nyawa orang sekitar kita..! \n\nPemerintah menarik rem darurat berupa pemberlakuan PPKM Darurat.\xe2\x80\xa6'"
